Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,DRS_Active,Naked_Pace,Fuel_Tax,Tire_Tax,DRS_Correction,Peak_Potential,Sandbag_Delta,Final_Baseline
0 days 00:17:35.294000,VER,1,0 days 00:01:25.980000,2.0,1.0,,,0 days 00:00:17.695000,0 days 00:00:36.948000,0 days 00:00:31.337000,0 days 00:16:27.009000,0 days 00:17:03.957000,0 days 00:17:35.294000,290.0,322.0,215.0,328.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:16:09.314000,2024-12-06 13:03:50.826,12,,False,,False,True,1,83.4322,3.1877999999999997,0.09,0.85,83.4322,0.0,83.41619999999999
0 days 00:19:45.890000,VER,1,0 days 00:02:10.596000,3.0,1.0,,0 days 00:19:44.880000,0 days 00:00:29.506000,0 days 00:00:56.540000,0 days 00:00:44.550000,0 days 00:18:04.800000,0 days 00:19:01.340000,0 days 00:19:45.890000,119.0,197.0,,179.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:17:35.294000,2024-12-06 13:05:16.806,1,,False,,False,False,0,127.2093,3.1317000000000004,0.135,0.0,83.4322,43.777100000000004,127.1853
0 days 00:22:02.560000,VER,1,0 days 00:02:16.670000,4.0,2.0,0 days 00:20:08.556000,,0 days 00:00:42.893000,0 days 00:00:47.975000,0 days 00:00:45.802000,0 days 00:20:28.783000,0 days 00:21:16.758000,0 days 00:22:02.560000,268.0,143.0,219.0,236.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:19:45.890000,2024-12-06 13:07:27.402,1,,False,,False,False,1,134.14439999999996,3.0756,0.18,0.85,83.4322,50.71219999999997,134.11239999999995
0 days 00:23:27.825000,VER,1,0 days 00:01:25.265000,5.0,2.0,,,0 days 00:00:17.571000,0 days 00:00:36.646000,0 days 00:00:31.048000,0 days 00:22:20.131000,0 days 00:22:56.777000,0 days 00:23:27.825000,290.0,323.0,213.0,329.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:22:02.560000,2024-12-06 13:09:44.072,1,,False,,False,True,1,82.7505,3.0195000000000003,0.22499999999999998,0.85,82.7505,0.0,82.7105
0 days 00:25:31.556000,VER,1,0 days 00:02:03.731000,6.0,2.0,,0 days 00:25:30.483000,0 days 00:00:27.853000,0 days 00:00:53.678000,0 days 00:00:42.200000,0 days 00:23:55.678000,0 days 00:24:49.356000,0 days 00:25:31.556000,113.0,204.0,,190.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:23:27.825000,2024-12-06 13:11:09.337,1,,False,,False,False,0,120.37759999999999,2.9634,0.27,0.0,82.7505,37.627099999999984,120.32959999999999
0 days 00:27:39.977000,VER,1,0 days 00:02:08.421000,7.0,3.0,0 days 00:25:53.309000,,0 days 00:00:43.063000,0 days 00:00:46.736000,0 days 00:00:38.622000,0 days 00:26:14.619000,0 days 00:27:01.355000,0 days 00:27:39.977000,270.0,153.0,221.0,249.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:25:31.556000,2024-12-06 13:13:13.068,1,,False,,False,False,1,125.92869999999998,2.9072999999999998,0.315,0.85,82.7505,43.178199999999975,125.87269999999998
0 days 00:29:04.935000,VER,1,0 days 00:01:24.958000,8.0,3.0,,,0 days 00:00:17.404000,0 days 00:00:36.696000,0 days 00:00:30.858000,0 days 00:27:57.381000,0 days 00:28:34.077000,0 days 00:29:04.935000,290.0,322.0,213.0,328.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 00:27:39.977000,2024-12-06 13:15:21.489,1,,False,,False,True,1,82.47679999999998,2.8512000000000004,0.36,0.85,82.47679999999998,0.0,82.41279999999999
0 days 00:30:54.382000,VER,1,0 days 00:01:49.447000,9.0,3.0,,0 days 00:30:53.274000,0 days 00:00:19.775000,0 days 00:00:46.615000,0 days 00:00:43.057000,0 days 00:29:24.710000,0 days 00:30:11.325000,0 days 00:30:54.382000,260.0,246.0,,231.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:29:04.935000,2024-12-06 13:16:46.447,1,,False,,False,False,1,106.97689999999999,2.7951,0.40499999999999997,0.85,82.47679999999998,24.500100000000003,106.90489999999998
0 days 00:43:18.697000,VER,1,0 days 00:01:24.598000,11.0,4.0,,,0 days 00:00:17.327000,0 days 00:00:36.428000,0 days 00:00:30.843000,0 days 00:42:11.426000,0 days 00:42:47.854000,0 days 00:43:18.697000,291.0,323.0,214.0,328.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:41:54.099000,2024-12-06 13:29:35.611,1,,False,,False,True,1,82.48109999999998,2.6829,0.164,0.85,82.47679999999998,0.004300000000000637,82.39309999999999
0 days 00:45:30.112000,VER,1,0 days 00:02:11.415000,12.0,4.0,,0 days 00:45:29.155000,0 days 00:00:26.139000,0 days 00:00:58.894000,0 days 00:00:46.382000,0 days 00:43:44.836000,0 days 00:44:43.730000,0 days 00:45:30.112000,154.0,169.0,,203.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:43:18.697000,2024-12-06 13:31:00.209,1,,False,,False,False,0,128.42219999999998,2.6268,0.246,0.0,82.48109999999998,45.94109999999999,128.32619999999997
0 days 00:57:54.694000,VER,1,0 days 00:01:29.746000,14.0,5.0,,,0 days 00:00:18.251000,0 days 00:00:38.547000,0 days 00:00:32.948000,0 days 00:56:43.199000,0 days 00:57:21.746000,0 days 00:57:54.694000,282.0,284.0,206.0,295.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:56:24.948000,2024-12-06 13:44:06.460,1,,False,,False,True,0,86.61639999999998,2.5146,0.495,0.0,82.48109999999998,4.135300000000001,86.50439999999999
0 days 00:59:24.201000,VER,1,0 days 00:01:29.507000,15.0,5.0,,,0 days 00:00:18.396000,0 days 00:00:38.372000,0 days 00:00:32.739000,0 days 00:58:13.090000,0 days 00:58:51.462000,0 days 00:59:24.201000,283.0,285.0,202.0,294.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:57:54.694000,2024-12-06 13:45:36.206,1,,False,,False,True,0,86.3885,2.4585,0.54,0.0,86.3885,0.0,86.26849999999999
0 days 01:01:01.312000,VER,1,0 days 00:01:37.111000,16.0,5.0,,,0 days 00:00:18.317000,0 days 00:00:38.537000,0 days 00:00:40.257000,0 days 00:59:42.518000,0 days 01:00:21.055000,0 days 01:01:01.312000,284.0,289.0,203.0,299.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:59:24.201000,2024-12-06 13:47:05.713,1,,False,,False,True,0,94.0036,2.4024,0.585,0.0,86.3885,7.615100000000012,93.8756
0 days 01:02:31.177000,VER,1,0 days 00:01:29.865000,17.0,5.0,,,0 days 00:00:18.320000,0 days 00:00:38.557000,0 days 00:00:32.988000,0 days 01:01:19.632000,0 days 01:01:58.189000,0 days 01:02:31.177000,285.0,290.0,202.0,299.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:01:01.312000,2024-12-06 13:48:42.824,1,,False,,False,True,0,86.7687,2.3463,0.63,0.0,86.3885,0.3802000000000021,86.6327
0 days 01:04:00.787000,VER,1,0 days 00:01:29.610000,18.0,5.0,,,0 days 00:00:18.232000,0 days 00:00:38.612000,0 days 00:00:32.766000,0 days 01:02:49.409000,0 days 01:03:28.021000,0 days 01:04:00.787000,286.0,292.0,205.0,298.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:02:31.177000,2024-12-06 13:50:12.689,1,,False,,False,True,0,86.5248,2.2902000000000005,0.6749999999999999,0.0,86.5248,0.0,86.3808
