Driver,Naked_Pace,Overdrive_Score,Terrain_Edge,Grid_Position,Sandbag_Delta
ALB,82.09599999999999,19.1691167978901,-0.02387046894466526,148.0,46.29610000000001
ALO,82.34489999999998,10.855168535996205,-0.08460812495248964,201.0,44.59620000000001
BOT,81.95219999999999,18.353978015920525,-0.028193022275338354,45.0,55.8171
COL,82.7616,24.47794484458786,0.14306896358605453,372.0,60.166100000000014
DOO,82.84409999999998,20.35879234372757,-0.0770919221107699,380.0,59.94409999999999
GAS,82.40009999999998,19.390843223189695,-0.06566446807266942,265.0,54.65320000000003
HAM,82.11429999999999,24.081390501010993,-0.23202402647995318,163.0,66.02420000000004
HUL,81.97429999999999,21.142509416271913,-0.03741291139740928,65.0,50.50320000000004
LAW,82.38609999999998,20.69769602278698,0.00893429067961463,244.0,59.030099999999976
LEC,82.04769999999999,19.723105373812537,0.053293948606115735,126.0,48.681199999999976
MAG,82.00589999999998,14.448030070660598,-0.08507572973834433,88.0,40.61919999999999
NOR,81.34399999999998,16.15452321321633,-0.021245146238875433,1.0,59.86210000000001
PER,82.3604,21.71081515261933,-0.14985241517039163,220.0,59.200100000000006
PIA,81.69019999999999,15.263904761339065,-0.05908167334873204,22.0,62.95610000000002
RUS,82.47319999999999,12.959810380406998,-0.04662227020937795,308.0,50.46639999999999
SAI,82.03819999999999,17.56757655213629,0.02952099435194877,106.0,54.80710000000002
STR,82.6813,23.161759834448727,-0.03546864938632888,348.0,61.5582
TSU,82.44669999999999,23.611918316110426,-0.021245550622246045,285.0,63.0911
VER,82.47679999999998,22.025626879401074,-0.1321094756772395,325.0,51.33309999999997
ZHO,82.19409999999999,16.427286761142618,0.058190208206792375,184.0,48.8721
