Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,GapToPrev,Is_Following,CleanMax,Slipstream_Delta,Dirty_Air_Tax
0 days 00:59:17.271000,VER,1,0 days 00:01:27.159000,1.0,1.0,,,,0 days 00:00:29.088000,0 days 00:00:28.517000,,0 days 00:58:48.867000,0 days 00:59:17.390000,321.0,309.0,305.0,284.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:57:49.893000,,1,1.0,False,,False,False,,0,352.0,0.0,7.583000000000013
0 days 01:00:42.130000,VER,1,0 days 00:01:24.859000,2.0,1.0,,,0 days 00:00:28.457000,0 days 00:00:28.843000,0 days 00:00:27.559000,0 days 00:59:45.728000,0 days 01:00:14.571000,0 days 01:00:42.130000,314.0,326.0,313.0,309.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:59:17.271000,,1,2.0,False,,False,True,0.699,1,352.0,-43.0,5.283000000000001
0 days 01:02:05.642000,VER,1,0 days 00:01:23.512000,3.0,1.0,,,0 days 00:00:27.212000,0 days 00:00:28.713000,0 days 00:00:27.587000,0 days 01:01:09.342000,0 days 01:01:38.055000,0 days 01:02:05.642000,320.0,329.0,314.0,350.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:00:42.130000,,1,2.0,False,,False,True,0.537,1,352.0,-2.0,3.936000000000007
0 days 01:03:28.904000,VER,1,0 days 00:01:23.262000,4.0,1.0,,,0 days 00:00:27.375000,0 days 00:00:28.455000,0 days 00:00:27.432000,0 days 01:02:33.017000,0 days 01:03:01.472000,0 days 01:03:28.904000,312.0,312.0,313.0,352.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:02:05.642000,,1,1.0,False,,False,True,,0,352.0,0.0,3.686000000000007
0 days 01:04:52.492000,VER,1,0 days 00:01:23.588000,5.0,1.0,,,0 days 00:00:27.520000,0 days 00:00:28.427000,0 days 00:00:27.641000,0 days 01:03:56.424000,0 days 01:04:24.851000,0 days 01:04:52.492000,309.0,310.0,313.0,317.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:03:28.904000,,1,1.0,False,,False,True,,0,352.0,0.0,4.0120000000000005
0 days 01:06:16.068000,VER,1,0 days 00:01:23.576000,6.0,1.0,,,0 days 00:00:27.434000,0 days 00:00:28.496000,0 days 00:00:27.646000,0 days 01:05:19.926000,0 days 01:05:48.422000,0 days 01:06:16.068000,311.0,312.0,312.0,320.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:04:52.492000,,1,1.0,False,,False,True,,0,352.0,0.0,4.0
0 days 01:07:39.378000,VER,1,0 days 00:01:23.310000,7.0,1.0,,,0 days 00:00:27.458000,0 days 00:00:28.306000,0 days 00:00:27.546000,0 days 01:06:43.526000,0 days 01:07:11.832000,0 days 01:07:39.378000,,313.0,312.0,,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:06:16.068000,,1,1.0,False,,False,True,,0,352.0,0.0,3.734000000000009
0 days 01:09:02.517000,VER,1,0 days 00:01:23.139000,8.0,1.0,,,0 days 00:00:27.411000,0 days 00:00:28.318000,0 days 00:00:27.410000,0 days 01:08:06.789000,0 days 01:08:35.107000,0 days 01:09:02.517000,310.0,312.0,312.0,,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:07:39.378000,,1,1.0,False,,False,True,,0,352.0,0.0,3.5630000000000024
0 days 01:10:25.618000,VER,1,0 days 00:01:23.101000,9.0,1.0,,,0 days 00:00:27.292000,0 days 00:00:28.355000,0 days 00:00:27.454000,0 days 01:09:29.809000,0 days 01:09:58.164000,0 days 01:10:25.618000,311.0,314.0,312.0,321.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:09:02.517000,,1,1.0,False,,False,True,,0,352.0,0.0,3.5250000000000057
0 days 01:11:48.706000,VER,1,0 days 00:01:23.088000,10.0,1.0,,,0 days 00:00:27.369000,0 days 00:00:28.370000,0 days 00:00:27.349000,0 days 01:10:52.987000,0 days 01:11:21.357000,0 days 01:11:48.706000,313.0,314.0,311.0,322.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 01:10:25.618000,,1,1.0,False,,False,True,,0,352.0,0.0,3.5120000000000005
0 days 01:13:11.772000,VER,1,0 days 00:01:23.066000,11.0,1.0,,,0 days 00:00:27.378000,0 days 00:00:28.300000,0 days 00:00:27.388000,0 days 01:12:16.084000,0 days 01:12:44.384000,0 days 01:13:11.772000,312.0,313.0,312.0,320.0,True,MEDIUM,11.0,True,Red Bull Racing,0 days 01:11:48.706000,,1,1.0,False,,False,True,,0,352.0,0.0,3.490000000000009
0 days 01:14:34.786000,VER,1,0 days 00:01:23.014000,12.0,1.0,,,0 days 00:00:27.338000,0 days 00:00:28.354000,0 days 00:00:27.322000,0 days 01:13:39.110000,0 days 01:14:07.464000,0 days 01:14:34.786000,313.0,313.0,313.0,322.0,True,MEDIUM,12.0,True,Red Bull Racing,0 days 01:13:11.772000,,1,1.0,False,,False,True,,0,352.0,0.0,3.4380000000000024
0 days 01:15:58.040000,VER,1,0 days 00:01:23.254000,13.0,1.0,,,0 days 00:00:27.350000,0 days 00:00:28.463000,0 days 00:00:27.441000,0 days 01:15:02.136000,0 days 01:15:30.599000,0 days 01:15:58.040000,314.0,313.0,313.0,,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:14:34.786000,,1,1.0,False,,False,True,,0,352.0,0.0,3.6780000000000115
0 days 01:17:21.158000,VER,1,0 days 00:01:23.118000,14.0,1.0,,,0 days 00:00:27.446000,0 days 00:00:28.319000,0 days 00:00:27.353000,0 days 01:16:25.486000,0 days 01:16:53.805000,0 days 01:17:21.158000,,314.0,313.0,,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:15:58.040000,,1,1.0,False,,False,True,,0,352.0,0.0,3.5420000000000016
0 days 01:18:44.235000,VER,1,0 days 00:01:23.077000,15.0,1.0,,,0 days 00:00:27.386000,0 days 00:00:28.238000,0 days 00:00:27.453000,0 days 01:17:48.544000,0 days 01:18:16.782000,0 days 01:18:44.235000,312.0,313.0,313.0,321.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:17:21.158000,,1,1.0,False,,False,True,,0,352.0,0.0,3.5010000000000048
0 days 01:20:07.236000,VER,1,0 days 00:01:23.001000,16.0,1.0,,,0 days 00:00:27.400000,0 days 00:00:28.202000,0 days 00:00:27.399000,0 days 01:19:11.635000,0 days 01:19:39.837000,0 days 01:20:07.236000,314.0,315.0,314.0,323.0,True,MEDIUM,16.0,True,Red Bull Racing,0 days 01:18:44.235000,,1,1.0,False,,False,True,,0,352.0,0.0,3.4250000000000114
0 days 01:21:30.126000,VER,1,0 days 00:01:22.890000,17.0,1.0,,,0 days 00:00:27.317000,0 days 00:00:28.234000,0 days 00:00:27.339000,0 days 01:20:34.553000,0 days 01:21:02.787000,0 days 01:21:30.126000,,316.0,313.0,325.0,True,MEDIUM,17.0,True,Red Bull Racing,0 days 01:20:07.236000,,1,1.0,False,,False,True,,0,352.0,0.0,3.314000000000007
0 days 01:22:52.853000,VER,1,0 days 00:01:22.727000,18.0,1.0,,,0 days 00:00:27.301000,0 days 00:00:28.154000,0 days 00:00:27.272000,0 days 01:21:57.427000,0 days 01:22:25.581000,0 days 01:22:52.853000,312.0,316.0,314.0,324.0,True,MEDIUM,18.0,True,Red Bull Racing,0 days 01:21:30.126000,,1,1.0,False,,False,True,,0,352.0,0.0,3.1510000000000105
0 days 01:24:15.691000,VER,1,0 days 00:01:22.838000,19.0,1.0,,,0 days 00:00:27.357000,0 days 00:00:28.190000,0 days 00:00:27.291000,0 days 01:23:20.210000,0 days 01:23:48.400000,0 days 01:24:15.691000,313.0,316.0,314.0,323.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:22:52.853000,,1,1.0,False,,False,True,,0,352.0,0.0,3.2620000000000005
0 days 01:25:38.548000,VER,1,0 days 00:01:22.857000,20.0,1.0,,,0 days 00:00:27.370000,0 days 00:00:28.167000,0 days 00:00:27.320000,0 days 01:24:43.061000,0 days 01:25:11.228000,0 days 01:25:38.548000,312.0,316.0,312.0,322.0,False,MEDIUM,20.0,True,Red Bull Racing,0 days 01:24:15.691000,,1,1.0,False,,False,True,,0,352.0,0.0,3.281000000000006
0 days 01:27:01.467000,VER,1,0 days 00:01:22.919000,21.0,1.0,,,0 days 00:00:27.413000,0 days 00:00:28.215000,0 days 00:00:27.291000,0 days 01:26:05.961000,0 days 01:26:34.176000,0 days 01:27:01.467000,313.0,317.0,313.0,,False,MEDIUM,21.0,True,Red Bull Racing,0 days 01:25:38.548000,,1,1.0,False,,False,True,,0,352.0,0.0,3.3430000000000035
0 days 01:28:24.200000,VER,1,0 days 00:01:22.733000,22.0,1.0,,,0 days 00:00:27.271000,0 days 00:00:28.138000,0 days 00:00:27.324000,0 days 01:27:28.738000,0 days 01:27:56.876000,0 days 01:28:24.200000,315.0,317.0,314.0,,False,MEDIUM,22.0,True,Red Bull Racing,0 days 01:27:01.467000,,1,1.0,False,,False,True,,0,352.0,0.0,3.1570000000000107
0 days 01:29:46.982000,VER,1,0 days 00:01:22.782000,23.0,1.0,,,0 days 00:00:27.317000,0 days 00:00:28.188000,0 days 00:00:27.277000,0 days 01:28:51.517000,0 days 01:29:19.705000,0 days 01:29:46.982000,313.0,316.0,313.0,323.0,False,MEDIUM,23.0,True,Red Bull Racing,0 days 01:28:24.200000,,1,1.0,False,,False,True,,0,352.0,0.0,3.206000000000003
0 days 01:31:09.799000,VER,1,0 days 00:01:22.817000,24.0,1.0,,,0 days 00:00:27.335000,0 days 00:00:28.171000,0 days 00:00:27.311000,0 days 01:30:14.317000,0 days 01:30:42.488000,0 days 01:31:09.799000,314.0,315.0,314.0,324.0,False,MEDIUM,24.0,True,Red Bull Racing,0 days 01:29:46.982000,,1,1.0,False,,False,True,,0,352.0,0.0,3.2409999999999997
0 days 01:32:32.769000,VER,1,0 days 00:01:22.970000,25.0,1.0,,,0 days 00:00:27.336000,0 days 00:00:28.216000,0 days 00:00:27.418000,0 days 01:31:37.135000,0 days 01:32:05.351000,0 days 01:32:32.769000,312.0,316.0,313.0,,False,MEDIUM,25.0,True,Red Bull Racing,0 days 01:31:09.799000,,1,1.0,False,,False,True,,0,352.0,0.0,3.3940000000000055
0 days 01:33:55.706000,VER,1,0 days 00:01:22.937000,26.0,1.0,,,0 days 00:00:27.390000,0 days 00:00:28.218000,0 days 00:00:27.329000,0 days 01:33:00.159000,0 days 01:33:28.377000,0 days 01:33:55.706000,314.0,317.0,314.0,,False,MEDIUM,26.0,True,Red Bull Racing,0 days 01:32:32.769000,,1,1.0,False,,False,True,,0,352.0,0.0,3.361000000000004
0 days 01:35:18.721000,VER,1,0 days 00:01:23.015000,27.0,1.0,,,0 days 00:00:27.447000,0 days 00:00:28.229000,0 days 00:00:27.339000,0 days 01:34:23.153000,0 days 01:34:51.382000,0 days 01:35:18.721000,,316.0,313.0,321.0,False,MEDIUM,27.0,True,Red Bull Racing,0 days 01:33:55.706000,,1,1.0,False,,False,True,,0,352.0,0.0,3.439000000000007
0 days 01:36:41.752000,VER,1,0 days 00:01:23.031000,28.0,1.0,,,0 days 00:00:27.457000,0 days 00:00:28.265000,0 days 00:00:27.309000,0 days 01:35:46.178000,0 days 01:36:14.443000,0 days 01:36:41.752000,,317.0,313.0,322.0,False,MEDIUM,28.0,True,Red Bull Racing,0 days 01:35:18.721000,,1,1.0,False,,False,True,,0,352.0,0.0,3.4550000000000125
0 days 01:38:04.563000,VER,1,0 days 00:01:22.811000,29.0,1.0,,,0 days 00:00:27.382000,0 days 00:00:28.222000,0 days 00:00:27.207000,0 days 01:37:09.134000,0 days 01:37:37.356000,0 days 01:38:04.563000,,317.0,313.0,,False,MEDIUM,29.0,True,Red Bull Racing,0 days 01:36:41.752000,,1,1.0,False,,False,True,,0,352.0,0.0,3.2350000000000136
0 days 01:39:27.491000,VER,1,0 days 00:01:22.928000,30.0,1.0,,,0 days 00:00:27.447000,0 days 00:00:28.294000,0 days 00:00:27.187000,0 days 01:38:32.010000,0 days 01:39:00.304000,0 days 01:39:27.491000,315.0,317.0,314.0,321.0,False,MEDIUM,30.0,True,Red Bull Racing,0 days 01:38:04.563000,,1,1.0,False,,False,True,,0,352.0,0.0,3.352000000000004
0 days 01:40:50.432000,VER,1,0 days 00:01:22.941000,31.0,1.0,,,0 days 00:00:27.307000,0 days 00:00:28.210000,0 days 00:00:27.424000,0 days 01:39:54.798000,0 days 01:40:23.008000,0 days 01:40:50.432000,314.0,318.0,314.0,322.0,False,MEDIUM,31.0,True,Red Bull Racing,0 days 01:39:27.491000,,1,1.0,False,,False,True,,0,352.0,0.0,3.365000000000009
0 days 01:42:13.322000,VER,1,0 days 00:01:22.890000,32.0,1.0,,,0 days 00:00:27.403000,0 days 00:00:28.196000,0 days 00:00:27.291000,0 days 01:41:17.835000,0 days 01:41:46.031000,0 days 01:42:13.322000,316.0,318.0,314.0,,False,MEDIUM,32.0,True,Red Bull Racing,0 days 01:40:50.432000,,1,1.0,False,,False,True,,0,352.0,0.0,3.314000000000007
0 days 01:43:36.265000,VER,1,0 days 00:01:22.943000,33.0,1.0,,,0 days 00:00:27.385000,0 days 00:00:28.257000,0 days 00:00:27.301000,0 days 01:42:40.707000,0 days 01:43:08.964000,0 days 01:43:36.265000,,318.0,314.0,,False,MEDIUM,33.0,True,Red Bull Racing,0 days 01:42:13.322000,,1,1.0,False,,False,True,,0,352.0,0.0,3.3670000000000044
0 days 01:44:59.060000,VER,1,0 days 00:01:22.795000,34.0,1.0,,,0 days 00:00:27.318000,0 days 00:00:28.250000,0 days 00:00:27.227000,0 days 01:44:03.583000,0 days 01:44:31.833000,0 days 01:44:59.060000,,318.0,314.0,324.0,False,MEDIUM,34.0,True,Red Bull Racing,0 days 01:43:36.265000,,1,1.0,False,,False,True,,0,352.0,0.0,3.2190000000000083
0 days 01:46:21.711000,VER,1,0 days 00:01:22.651000,35.0,1.0,,,0 days 00:00:27.355000,0 days 00:00:28.119000,0 days 00:00:27.177000,0 days 01:45:26.415000,0 days 01:45:54.534000,0 days 01:46:21.711000,,318.0,314.0,322.0,True,MEDIUM,35.0,True,Red Bull Racing,0 days 01:44:59.060000,,1,1.0,False,,False,True,,0,352.0,0.0,3.075000000000003
0 days 01:47:44.410000,VER,1,0 days 00:01:22.699000,36.0,1.0,,,0 days 00:00:27.404000,0 days 00:00:28.118000,0 days 00:00:27.177000,0 days 01:46:49.115000,0 days 01:47:17.233000,0 days 01:47:44.410000,,318.0,315.0,323.0,False,MEDIUM,36.0,True,Red Bull Racing,0 days 01:46:21.711000,,1,1.0,False,,False,True,,0,352.0,0.0,3.1230000000000047
0 days 01:49:11.842000,VER,1,0 days 00:01:27.432000,37.0,1.0,,0 days 01:49:08.226000,0 days 00:00:27.321000,0 days 00:00:28.233000,0 days 00:00:31.878000,0 days 01:48:11.731000,0 days 01:48:39.964000,0 days 01:49:11.842000,317.0,320.0,,324.0,False,MEDIUM,37.0,True,Red Bull Racing,0 days 01:47:44.410000,,1,1.0,False,,False,False,,0,352.0,0.0,7.856000000000009
0 days 01:50:54.191000,VER,1,0 days 00:01:42.349000,38.0,2.0,0 days 01:49:32.596000,,0 days 00:00:47.531000,0 days 00:00:27.885000,0 days 00:00:26.933000,0 days 01:49:59.373000,0 days 01:50:27.258000,0 days 01:50:54.191000,313.0,317.0,316.0,285.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:49:11.842000,,1,3.0,False,,False,False,13.177,0,352.0,0.0,22.77300000000001
0 days 01:52:15.593000,VER,1,0 days 00:01:21.402000,39.0,2.0,,,0 days 00:00:26.948000,0 days 00:00:27.641000,0 days 00:00:26.813000,0 days 01:51:21.139000,0 days 01:51:48.780000,0 days 01:52:15.593000,314.0,318.0,316.0,320.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:50:54.191000,,1,3.0,False,,False,True,12.177,0,352.0,0.0,1.8260000000000076
