Driver,Compound,Sector1Time,Sector2Time,Sector3Time,Sandbag_Delta,S3_Chassis_Score,S1_Power_Score,2026_Clipping_Risk,power_score,chassis_score,clipping_risk
ALB,MEDIUM,17.514,36.583,31.21,19.50613333333333,1.0267460604664935,1.028360049321825,21.087688286066587,31.21,36.583,0.0
ALB,SOFT,17.223,36.299,30.747,11.696211111111108,1.0115142941737671,1.011273559978862,12.839342608576514,30.747,36.299,-0.016615279205207334
ALO,MEDIUM,17.574,36.758,31.137,6.379250000000002,1.0243445076816793,1.0318830368152194,7.614522899418709,31.137,36.758,0.020379724786622644
ALO,SOFT,17.264,36.262,30.912,18.58231428571429,1.0169424614271143,1.013680934766015,19.85021865002475,30.912,36.262,-0.017639695003983324
BOT,MEDIUM,17.61,36.651,31.087,12.49905625,1.022699608513998,1.033996829311256,13.957981361194294,31.087,36.651,0.02004170528266913
BOT,SOFT,17.303,36.146,30.641,17.0848,1.0080271079382834,1.0159708766367217,18.37363010979978,30.641,36.146,-0.01743327654741611
COL,MEDIUM,17.47,36.629,31.029,19.095883333333337,1.020791525479488,1.0257765251600024,20.61388537568748,31.029,36.629,0.009651505519274073
COL,SOFT,17.215,36.165,41.782,20.8397,1.3745435404809685,1.0108038283130762,22.07565236920909,41.782,36.165,-0.014596451058958126
DOO,MEDIUM,17.608,37.082,31.343,18.02390666666667,1.031121492252525,1.0338793963948096,19.66842514160453,31.343,37.082,0.0228289282602383
DOO,SOFT,17.388,36.622,30.945,28.657988888888887,1.018028094877784,1.0209617755856968,30.279672996300864,30.945,36.622,-0.01249432076328938
GAS,MEDIUM,17.526,36.744,31.008,10.14780625,1.020100667829062,1.0290646468205038,11.471813301479656,31.008,36.744,0.007936507936507908
GAS,SOFT,17.467,36.304,30.746,20.02990000000001,1.0114813961904134,1.0256003757853327,21.568273342727977,30.746,36.304,-0.003366427022709173
HAM,MEDIUM,17.388,36.721,30.852,15.40329411764706,1.0149685824258974,1.0209617755856968,16.747136287807354,30.852,36.721,-0.004522814450105717
HAM,SOFT,17.16,36.152,30.63,19.11765000000001,1.0076652301213935,1.007574423110798,20.27002959309496,30.63,36.152,-0.013112491373361013
HUL,MEDIUM,17.641,36.766,30.965,14.767737500000004,1.0186860545448564,1.0358170395161763,16.332491177118197,30.965,36.766,0.02803030303030285
HUL,SOFT,17.315,36.14,30.467,13.460313333333334,1.0023028588347531,1.0166754741354005,14.701445914313116,30.467,36.14,-0.018479678022787605
LAW,MEDIUM,17.597,36.66,30.989,18.30505294117647,1.0194756061453434,1.033233515354354,19.946627714513674,30.989,36.66,0.016286456829338825
LAW,SOFT,17.333,36.438,30.732,10.724625000000003,1.0110208244234629,1.0177323703834185,11.93253039310669,30.732,36.438,-0.015002557254077509
LEC,MEDIUM,17.338,36.496,30.598,10.482899999999995,1.0066124946540778,1.0180259526745348,11.68989021196641,30.598,36.496,0.0002884670859055749
LEC,SOFT,17.29,36.254,30.612,21.75712500000001,1.0070730664210283,1.0152075626798192,23.103205404849984,30.612,36.254,-0.0027684854077749677
MAG,MEDIUM,17.542,36.799,31.104,7.0917333333333294,1.0232588742310096,1.0300041101520758,8.334518591587887,31.104,36.799,0.014574898785425283
MAG,SOFT,17.299,36.193,30.743,6.829566666666669,1.0113827022403528,1.0157360108038282,7.952772812322629,30.743,36.193,-0.013852468361646442
NOR,MEDIUM,17.35,36.432,30.546,11.165993333333338,1.0049017995196894,1.0187305501732138,12.393869081870324,30.546,36.432,0.002948147291751191
NOR,SOFT,17.031,36.089,30.397,24.628500000000003,1.0,1.0,25.628500000000003,30.397,36.089,-0.018386167146974164
PER,MEDIUM,17.592,36.833,30.956,14.193221052631582,1.018389972694674,1.0329399330632376,15.69368473712024,30.956,36.833,0.032939933063237614
